file_name,class
2023_05_09_12_03_36.699640 space.png,1
2023_05_09_12_02_10.618374 space.png,1
2023_05_09_10_46_34.727296 space.png,1
2023_05_09_12_02_46.483989 n.png,0
2023_05_09_12_01_31.935489 n.png,0
2023_05_09_12_04_16.732468 space.png,1
2023_05_09_12_00_37.953033 space.png,1
2023_05_09_10_46_16.958144 space.png,1
2023_05_09_10_47_27.409422 n.png,0
2023_05_09_12_04_48.148142 space.png,1
2023_05_09_12_03_57.316332 space.png,1
2023_05_09_12_00_18.520025 space.png,1
2023_05_09_12_00_07.437042 n.png,0
2023_05_09_12_01_00.736101 n.png,0
2023_05_09_10_46_26.790639 n.png,0
2023_05_09_10_48_16.255540 n.png,0
2023_05_09_12_00_38.303138 n.png,0
2023_05_09_12_03_30.100028 n.png,0
2023_05_09_10_47_47.307942 space.png,1
2023_05_09_12_01_07.002698 space.png,1
2023_05_09_12_00_17.369844 n.png,0
2023_05_09_12_00_54.435826 n.png,0
2023_05_09_12_00_25.769778 space.png,1
2023_05_09_10_46_27.427600 n.png,0
2023_05_09_10_47_04.040301 n.png,0
2023_05_09_12_00_03.521124 n.png,0
2023_05_09_12_04_29.615270 n.png,0
2023_05_09_10_48_32.541289 n.png,0
2023_05_09_11_59_58.554923 space.png,1
2023_05_09_12_04_32.715338 n.png,0
2023_05_09_10_45_47.393564 space.png,1
2023_05_09_12_02_04.451213 space.png,1
2023_05_09_12_03_14.883471 n.png,0
2023_05_09_10_46_18.459255 space.png,1
2023_05_09_10_48_50.940890 n.png,0
2023_05_09_12_01_35.568782 n.png,0
2023_05_09_10_47_15.073919 n.png,0
2023_05_09_12_03_07.999985 n.png,0
2023_05_09_12_00_23.086799 n.png,0
2023_05_09_12_00_50.652884 n.png,0
2023_05_09_12_04_16.332092 n.png,0
2023_05_09_10_47_23.960715 space.png,1
2023_05_09_12_03_32.349748 n.png,0
2023_05_09_12_01_06.919522 space.png,1
2023_05_09_10_48_30.741273 space.png,1
2023_05_09_10_48_59.392993 space.png,1
2023_05_09_10_48_25.272379 space.png,1
2023_05_09_10_48_45.975599 space.png,1
2023_05_09_12_01_58.485564 n.png,0
2023_05_09_10_47_05.008824 space.png,1
2023_05_09_12_02_24.800944 n.png,0
2023_05_09_12_04_00.665263 space.png,1
2023_05_09_12_04_32.298358 space.png,1
2023_05_09_10_47_14.172992 space.png,1
2023_05_09_10_47_20.973093 n.png,0
2023_05_09_10_45_57.575515 space.png,1
2023_05_09_12_00_00.839863 space.png,1
2023_05_09_10_48_51.342872 space.png,1
2023_05_09_10_47_24.023293 space.png,1
2023_05_09_12_02_31.401156 n.png,0
2023_05_09_12_00_39.304326 space.png,1
2023_05_09_12_01_25.635710 n.png,0
2023_05_09_12_02_01.851763 n.png,0
2023_05_09_12_01_45.468566 space.png,1
2023_05_09_12_00_27.053100 space.png,1
2023_05_09_12_02_07.734262 space.png,1
2023_05_09_12_00_24.136915 n.png,0
2023_05_09_12_00_03.553706 n.png,0
2023_05_09_12_00_29.403942 space.png,1
2023_05_09_12_04_27.683166 n.png,0
2023_05_09_10_48_26.773482 n.png,0
2023_05_09_10_47_17.356265 n.png,0
2023_05_09_12_02_06.784530 space.png,1
2023_05_09_11_59_57.469904 space.png,1
2023_05_09_12_02_04.302084 n.png,0
2023_05_09_12_01_32.035748 n.png,0
2023_05_09_12_03_29.799796 space.png,1
2023_05_09_12_03_40.249298 n.png,0
2023_05_09_12_04_29.515565 n.png,0
2023_05_09_10_45_55.592597 space.png,1
2023_05_09_10_46_29.591366 space.png,1
2023_05_09_10_46_36.026729 space.png,1
2023_05_09_10_48_26.108113 space.png,1
2023_05_09_12_03_58.582134 space.png,1
2023_05_09_12_04_41.299021 n.png,0
2023_05_09_12_03_54.432650 space.png,1
2023_05_09_12_02_29.517720 n.png,0
2023_05_09_12_04_06.049491 n.png,0
2023_05_09_12_04_06.865465 space.png,1
2023_05_09_12_01_35.435276 n.png,0
